"Mineral_Name","Approval history","Groups","Synonyms","Varieties","Strunz 8th edition","Dana 8th edition","Strunz 10th edition","Hey's 3rd edition","Formula","Crystal System","Class Name","H-M symbol","Space group","Non-standart settings","Optical Properties","Colour","Streak","Lustre","Cleavage","Fracture","Tenacity","Hardness","Density measured","Density calculated","Habit","Geological occurrence","Localities","References","Named for","Type Locality","Distribution","Distribution Range","URL to e-Rocks","Context","Groups Short"
"Klaprothite (of Petersen)","Approved",,"Klaprotholite, Klaprotholith",,,,,,,,,,,,,"Steel grey, yellowish","Black",,,,,2.5,,,,,,,,,,,"https://e-rocks.com/node/859277",,
"Comptonite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/842835",,
"Kozoite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/816982",,
"Taylorite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/815712",,
"Paradoxite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/813902",,
"Gitter Quartz","Approved",,"Gitterquarz, Lattice Quartz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/807068",,
"Araucaria Mirabilis","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/799806",,
"Unnamed (Fe2+-analogue of Brandtite)","Approved","Roselite Group",,,,,,,"Ca_2_Fe^2+^(AsO_4_)_2_ · 2H_2_O",,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/794495",,
"Khinite-3T","Approved",,"Parakhinite, IMA1978-036",,"4/K.15-50",,,,"Pb^2+^Cu_3_^2+^Te^6+^O_6_(OH)_2_","Trigonal",,,,,,"Green",,,,,,,,,,,"Emerald Mine, Tombstone District, Cochise County, Arizona, USA",,,,,,"https://e-rocks.com/node/782581",,
"Proto-Ferro-Anthophyllite","Approved","Anthophyllite Root Name","IMA1986-006",,,,,,"☐{Fe_2_^2+^}{Fe_5_^2+^}(Si_8_O_22_)(OH)_2_",,,,,,,,,,,,,,,,,,"Cheyenne Mountains area, El Paso County, Colorado, United States of America Or Tawara, Hirukawa, Gifu Prefecture, Chubu Region, Honshu Island, Japan",,,,,,"https://e-rocks.com/node/770874",,
"Lapradorite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/768371",,
"Manganoshadlunite","Approved",,"Manganese-Shadlunite",,"2.BB.15",,,,"(Mn,Pb,Cd)(Cu,Fe)_8_S_8_",,,,,,,,,,,,,4,,,,,"Mayak Mine, Taimyr Peninsula, Eastern Siberia, Russian Federation",,,,,,"https://e-rocks.com/node/765857",,
"Charcoal","Approved",,,,,,,,"C",,,,,,,"Black",,,,,,,,,,,,,,,,,"https://e-rocks.com/node/761119",,
"Chrome-Bearing Grossular","Approved","Grossular","Chrome-Grossular",,,,,,"Ca_3_(Al,Cr^3+^)_2_(SiO_4_)_3_",,,,,,,"Green",,,,,,,,,,,,,,,,,"https://e-rocks.com/node/752790",,
"Fluorite, siderite, apatite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/750668",,
"Holingworhite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/744608",,
"Mertieite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/744603",,
"Itabirite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/737680",,
"Postcard","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/737395",,
"Unnamed (Gordaite-related Ca-Zn Sulphate Chloride Hydrate)","Approved",,,,,,,,"Ca[Zn_8_(SO_4_)_2_(OH)_12_Cl_2_](H_2_O)_9_","Trigonal",,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/735555",,
"Unnamed (Pb-Fe Chloride Hydroxide Hydrate)","Approved",,"Barattiite, Barattite,  PFC",,,,,,"Pb_2_Fe^3+^Cl_3_(OH)_4_·H_2_O","Monoclinic",,,,,,"Yellow",,,,,,,,,,,,,,,,,"https://e-rocks.com/node/735553",,
"Nickeloan Siderite","Approved",,,,,,,,"A nickel rich variety of siderite",,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/731229",,
"Stamps","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/722969",,
"Currency","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/722968",,
"Horse","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/718640",,
"Molybdenum","Approved",,"Native Molybdenum, Molybdän",,"1.AE.05",,,,"Mo","Isometric",,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/697945",,
"Mtorodite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,"Mtoroshanga (Mutorashanga), Makonde District (Lomagundi District), Mashonaland West, Zimbabwe",,,,,,"https://e-rocks.com/node/694830",,
"Fluorferroleakeite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/675615",,
"β-Vredenburgite","Approved",,"Devadite, Beta Vredenburgite, Beta-Vredenburgite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/675136",,
"Elestial quartz","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/674646",,
"Dickinsonite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/671957",,
"Calcareous Tufa","Approved",,"Calc-Sinter, Calcareous Sinter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/666602",,
"Ferroalluaudite-Na□","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/660983",,
"Zirconolite-3O","Approved",,,,,,,,,"Orthorhombic",,,,,,"Black",,,,,,,,,,,,,,,,,"https://e-rocks.com/node/657753",,
"Nuummite","Approved",,"Nuumit, Nuumite,  Nuummit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/653599",,
"Porphyrkugel","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/647399",,
"Puflerite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,"Pufler Lake, Seiser Alm, Trentino-Alto Adige, Italy",,,,,,"https://e-rocks.com/node/637673",,
"Oxycalcioroméite","Approved","Pyrochlore Supergroup","Oxycalcioromeite, IMA2012-022",,,,,,"Ca_2_Sb_2_O_6_O","Isometric",,,,,,"Reddish-brown","Pale yellow",,,,,,,,,,"Buca della Vena Mine, Stazzema, Apuan Alps, Tuscany, Italy",,,,,,"https://e-rocks.com/node/627407",,
"Ferro-winchite","Approved","Amphibole Supergroup",,,"9.DE.20",,,,"[CaNa][(Fe^2+^)_4_(Al,Fe^3+^)][(OH)_2_|(Si_8_O_22_]","Monoclinic",,,,,,"Cobalt-blue to violet-blue","Pale blue-grey.",,,,,-5.5,,,,,,,,,,,"https://e-rocks.com/node/626351",,
"Pecos Diamond","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/613977",,
