"Term ID","Name","Vocab machine name","Count","Approval status","Mindat ID","Term Flattened","Geolocation"
"80777","Acapulco Adit, Alaska Mine, Poughkeepsie Gulch, San Juan County","locality_data","1","Approved","118832","Acapulco Adit, Alaska Mine, Poughkeepsie Gulch, San Juan County, Colorado, United States of America","
  
  
  37.9311111111, -107.629444444

"
"47928","Acari Mine, Caraveli Province, Arequipa","locality_data","39","Approved","47708","Acari Mine, Caraveli Province, Arequipa, Arequipa Department, Peru","
  
  
  -15.4384565, -74.6180833

"
"47927","Acari, Borborema Province","locality_data","2","Approved","125839","Acari, Borborema Province, Rio Grande do Norte, Brazil","
  
  
  -6.435040300000001, -36.6408876

"
"76318","Ace of Diamonds Mine, Liberty, Kittitas County","locality_data","3","Approved","15039","Ace of Diamonds Mine, Liberty, Kittitas County, Washington, United States of America","
  
  
  47.25, -120.66666666700002

"
"47929","Ace of Diamonds Mine, Middleville, Herkimer County","locality_data","65","Approved","6476","Ace of Diamonds Mine, Middleville, Herkimer County, New York, United States of America","
  
  
  43.1325, -74.9744444444

"
"47930","Acep Mine, Iskeleköy, Bigadiç","locality_data","2","Approved","193645","Acep Mine, Iskeleköy, Bigadiç, Balikesir Province, Balikesir Province, Turkey","
  
  
  39.491589249213, 28.172035217285

"
"72029","ACF Mine, Mibladen, Midelt Province","locality_data","304","Approved","108646","ACF Mine, Mibladen, Midelt Province, Drâa-Tafilalet Region, Morocco","
  
  
  32.738888888889, -4.681666666666729

"
"47931","Acherwiese, Schönbrunn, Fichtelgebirge","locality_data","7","Approved","14923","Acherwiese, Schönbrunn, Fichtelgebirge, Bavaria, Germany","
  
  
  50.0608333334, 12.0604166666

"
"66436","Achinsk","locality_data","1","Approved","276907","Achinsk, Krasnoyarsk Krai, Russian Federation","
  
  
  56.259863003308, 90.47074755154699

"
"81806","Achisay Mine, Ashchisay, Kentau","locality_data","1","Approved","25986","Achisay Mine, Ashchisay, Kentau, Turkistan Region, Kazakhstan","
  
  
  43.5286111111, 68.8944444444

"
"79197","Achsel Alp, Scharnbachgraben, Hollersbach Valley, Hohe Tauern","locality_data","2","Approved","49733","Achsel Alp, Scharnbachgraben, Hollersbach Valley, Hohe Tauern, Salzburg, Austria","
  
  
  47.216844073223, 12.417110644531

"
"47933","Aci Castello, Etna, Catania Province","locality_data","24","Approved","278930","Aci Castello, Etna, Catania Province, Sicily, Italy","
  
  
  37.5559093, 15.139148400000067

"
"47934","Ackerman Mine, Marmora Township, Hastings County","locality_data","6","Approved","6751","Ackerman Mine, Marmora Township, Hastings County, Ontario, Canada","
  
  
  44.5002777778, -77.6116666667

"
"71960","Acoje Mine, Santa Cruz, Central Luzon","locality_data","3","Approved","27965","Acoje Mine, Santa Cruz, Central Luzon, Luzon, Philippines","
  
  
  15.760221392689, 120.03400156632

"
"47937","Acqua Bianca valley, Gorfigliano, Lucca Province","locality_data","3","Approved","23344","Acqua Bianca valley, Gorfigliano, Lucca Province, Tuscany, Italy","
  
  
  44.164986999836, 10.225724632857

"
"76932","Acquafredda Mine, Castiglione Chiavarese, Genova Province","locality_data","1","Approved","48162","Acquafredda Mine, Castiglione Chiavarese, Genova Province, Liguria, Italy","
  
  
  44.2749326, 9.516597600000068

"
"66190","Acquanegra Asbestos Mines, Lanzada, Lanterna Valley, Malenco Valley, Sondrio Province","locality_data","11","Approved","190087","Acquanegra Asbestos Mines, Lanzada, Lanterna Valley, Malenco Valley, Sondrio Province, Lombardy, Italy","
  
  
  46.2691666667, 9.9025

"
"55813","Acquaresi Mine, Iglesias, Carbonia-Iglesias Province","locality_data","4","Approved","48168","Acquaresi Mine, Iglesias, Carbonia-Iglesias Province, Sardinia, Italy","
  
  
  39.3655555556, 8.44222222222

"
"63149","Acquasaliente Creek, Contrade Maglio-Pornaro, Val Munari, Tretto, Vicenza Province","locality_data","1","Approved","31031","Acquasaliente Creek, Contrade Maglio-Pornaro, Val Munari, Tretto, Vicenza Province, Veneto, Italy","
  
  
  45.582953, 11.3157687

"
"60466","Acqui Terme, Alessandria Province","locality_data","1","Approved","187590","Acqui Terme, Alessandria Province, Piedmont, Italy","
  
  
  44.680944833158, 8.4637616704049

"
"83638","Actara, Colquechaca, Chayanta Province","locality_data","1","Approved","7434","Actara, Colquechaca, Chayanta Province, Potosi Department, Bolivia","
  
  
  -18.666667, -66.016667

"
