mineral_name,formula,ions,note,ns_class,ns_subclass,ns_family,ns_mineral
Atacamite,Cu^2+^_2_Cl(OH)_3_,"{""A"":[""Cu^2+^""],""B"":[""Cu^2+^""],""Y1"":[""OH^1-^ x 3""],""Z"":[""Cl^1-^""]}",,3,D,A,10a
Atelestite,Bi_2_O(As^5+^O_4_)(OH),"{""A"":[""Bi^3+^ x 2""],""X1"":[""As^5+^""],""Y1"":[""O^2-^ x 4""],""W"":[""OH^1-^""],""Z"":[""O^2-^""]}",,8,B,O,15
Atelisite-(Y),Y_4_Si_3_O_8_(OH)_8_,,,9,A,D,50
Atencioite,Ca_2_Fe^2+^_3_Mg_2_Be_4_(PO_4_)_6_(OH)_4_·6H_2_O,"{""A"":[""Ca^2+^ x 2""],""B"":[""Fe^2+^ x 3"",""Mg^2+^ x 2""],""C"":[""Be^2+^ x 4""],""X1"":[""P^5+^ x 1(6)""],""Y1"":[""O^2-^ x 4(6)""],""W"":[""H_2_O x 6""],""Z"":[""OH^1-^ x 4""]}",,8,D,A,10
Athabascaite,Cu_5_Se_4_,,,2,B,A,12
Atheneite,Pd_2_(As_0.75_Hg_0.25_),,,2,A,C,05a
Atlasovite,Cu^2+^_6_Fe^3+^BiO_4_(SO_4_)_5_·KCl,"{""A"":[""Cu^2+^ x 6"",""Fe^3+^""],""B"":[""Bi^3+^""],""X1"":[""S^6+^ x 1(5)""],""Y1"":[""O^2-^ x 4(5)""],""W"":[""KCl""],""Z"":[""O^2-^ x 4""]}",,7,B,C,15
Atokite,"(Pd,Pt)_3_Sn",,,1,A,G,10
Attakolite,"(Ca,Sr)Mn^2+^Al_4_(HSiO_4_)(PO_4_)_3_(OH)_4_",,,8,B,H,60
Attikaite,Ca_3_Cu^2+^_2_Al_2_(As^5+^O_4_)_4_(OH)_4_·2H_2_O,,,8,D,J,45
Aubertite,Cu^2+^Al(SO_4_)_2_Cl·14H_2_O,"{""A"":[""Cu^2+^""],""B"":[""Al^3+^""],""X1"":[""S^6+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 14""],""Z"":[""Cl^1-^""]}",,7,D,B,05
Augelite,Al_2_PO_4_(OH)_3_,,,8,B,E,05
Augite,"(Ca,Mg,Fe^2+^)(Mg,Fe^2+^)Si_2_O_6_","{""A"":[""Ca^2+^ x 1-A"",""Mg^2+^ x 1-A"",""Fe^2+^ x 1-A""],""B"":[""Mg^2+^ x 1-B"",""Fe^2+^ x 1-B""],""X1"":[""Si^4+^ x 2""],""Y1"":[""O^2-^ x 6""]}",,9,D,A,15
Auriacusite,Fe^3+^Cu^2+^(As^5+^O_4_)O,"{""A"":[""Fe^3+^"",""Cu^2+^""],""X1"":[""As^5+^""],""Y1"":[""O^2-^ x 4""],""Z"":[""O^2-^""]}",,8,B,B,15
Aurichalcite,"(Zn,Cu^2+^)_5_(CO_3_)_2_(OH)_6_",,,5,B,A,15
Auricupride,Cu_3_Au,"{""A"":[""Cu x 3""],""B"":[""Au""]}",,1,A,A,10a
Aurihydrargyrumite,Au_6_Hg_5_,,,1,A,D,45
Aurivilliusite,"Hg^1+^Hg^2+^O(I^1-^,Br,Cl)",,,3,D,D,50
Aurorite,Mn^2+^Mn^4+^_3_O_7_·3H_2_O,"{""A"":[""Mn^2+^""],""B"":[""Mn^4+^ x 3""],""Y1"":[""O^2-^ x 7""],""W"":[""H_2_O x 3""]}",,4,F,L,20
Aurostibite,AuSb_2_,"{""A"":[""Au^2+^""],""Y1"":[""Sb x 2""]}",,2,E,B,05a
Austinite,CaZnAs^5+^O_4_(OH),"{""A"":[""Ca^2+^""],""B"":[""Zn^2+^""],""X1"":[""As^5+^""],""Y1"":[""O^2-^ x 4""],""Z"":[""OH^1-^""]}",,8,B,H,35
Autunite,Ca(U^6+^O_2_)_2_(PO_4_)_2_·10-12H_2_O,"{""A"":[""Ca^2+^""],""B"":[""U^6+^O_2_ x 2""],""X1"":[""P^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 10-12""]}",,8,E,B,05
