Mineral_Name,anions_real,Formula
Allanite-(Nd),O;OH,CaNdAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
Allanite-(Y),O;OH,CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
Åskagenite-(Nd),O x 2,Mn^2+^NdAl_2_Fe^3+^(Si_2_O_7_)(SiO_4_)O_2_
Dissakisite-(Ce),O;OH,CaCe^3+^MgAl_2_(Si_2_O_7_)(SiO_4_)O(OH)
Ferriakasakaite-(Ce),O;OH,{CaCe^3+^}{Fe^3+^AlMn^2+^}(Si_2_O_7_)(SiO_4_)O(OH)
Ferriakasakaite-(La),O;OH,CaLa^3+^Fe^3+^AlMn^2+^(Si_2_O_7_)(SiO_4_)O(OH)
Ferriallanite-(Ce),O;OH,CaCe^3+^Fe^2+^Fe^3+^Al(SiO_4_)(Si_2_O_7_)O(OH)
Ferriallanite-(La),O;OH,CaLaFe^3+^AlFe^2+^(SiO_4_)(Si_2_O_7_)O(OH)
Manganiakasakaite-(La),O;OH,CaLa^3+^Mn^3+^AlMn^2+^(Si_2_O_7_)(SiO_4_)O(OH)
Manganiandrosite-(La),O;OH,Mn^2+^LaAlMn^3+^Mn^2+^(Si_2_O_7_)(SiO_4_)O(OH)
Vanadoallanite-(La),O;OH,CaLa^3+^V^3+^AlFe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
UM1989-32-SiO:AlCaFeHREE,O;OH,"(Ca_0.5_[box]_0.5_)(Ce^3+^,La,Nd)Fe^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)"
Unnamed (Ce- and Mn-analogue of Ferriakasakaite-(La)),O;OH,{CaCe^3+^}Mn^3+^AlMn^2+^(Si_2_O_7_)(SiO_4_)O(OH)
Unnamed (Mg-analogue of Ferriallanite-(Ce)),O;OH,{CaCe^3+^}{Fe^3+^AlMg}(Si_2_O_7_)(SiO_4_)(OH)O
Chromian Allanite-(Ce),O;OH,"{CaCe}{(Al,Cr^3+^)_2_Fe^2+^}(Si_2_O_7_)(SiO_4_)O(OH)"
Xanthorthite,,
Zoisite,O;OH,Ca_2_Al_3_(Si_2_O_7_)(SiO_4_)O(OH)
Chrome-Zoisite,O;OH,"Ca_2_(Al,Cr^3+^)_3_(Si_2_O_7_)(SiO_4_)O(OH)"
Thulite,O;OH,"{Ca_2_}{Al,Mn^3+^_3_}(Si_2_O_7_)(SiO_4_)O(OH)"
Macfallite,OHx3,Ca_2_Mn^3+^_3_(SiO_4_)(Si_2_O_7_)(OH)_3_
Sursassite,OHx3,Mn^2+^_2_Al_3_(SiO_4_)(Si_2_O_7_)(OH)_3_
Julgoldite-(Fe2+),OHx2,Ca_2_Fe^2+^Fe^3+^_2_(Si_2_O_7_)(SiO_4_)(OH)_2_·H_2_O
Julgoldite-(Fe3+),O;OH,Ca_2_Fe^3+^Fe^3+^_2_(Si_2_O_7_)(SiO_4_)O(OH)·H_2_O
Julgoldite-(Mg),OH,Ca_2_MgFe^3+^_2_(Si_2_O_7_)(SiO_4_)(OH)·H_2_O
Okhotskite,OHx2,Ca_2_Mn^2+^Mn^3+^_2_(Si_2_O_7_)(SiO_4_)(OH)_2_·H_2_O
Poppiite,(O + OH)=2,"Ca_2_V^3+^V^3+^_2_(Si_2_O_7_)(SiO_4_)(OH,O)_2_·H_2_O"
Pumpellyite-(Al),(OH + O)=2,"Ca_2_Al_3_(SiO_4_)(Si_2_O_7_)(OH,O)_2_·H_2_O"
Pumpellyite-(Fe2+),OHx2,Ca_2_Fe^2+^Al_2_(SiO_4_)(Si_2_O_7_)(OH)_2_·H_2_O
Pumpellyite-(Fe3+),(OH + O)=2,"Ca_2_Fe^3+^Al_2_(SiO_4_)(Si_2_O_7_)(OH,O)_2_·H_2_O"
Pumpellyite-(Mg),OHx2,Ca_2_MgAl_2_(SiO_4_)(Si_2_O_7_)(OH)_2_·H_2_O
Pumpellyite-(Mn2+),OHx2,Ca_2_Mn^2+^Al_2_(SiO_4_)(Si_2_O_7_)(OH)_2_·H_2_O
Shuiskite-(Mg),OHx2,Ca_2_MgCr^3+^_2_(SiO_4_)(Si_2_O_7_)(OH)_2_·H_2_O
Shuiskite-(Cr),O;OHx2,Ca_2_Cr^3+^Cr^3+^_2_[Si_2_O_6_OH][SiO_4_](OH)_2_O
Ganomalite,O,Pb^2+^_9_Ca_5_Mn^2+^(Si_2_O_7_)_4_(SiO_4_)O
Wayneburnhamite,,Pb^2+^_9_Ca_6_(Si_2_O_7_)_3_(SiO_4_)_3_
Rustumite,Cl x 2;OHx2,Ca_10_(Si_2_O_7_)_2_(SiO_4_)(OH)_2_Cl_2_
Alumovesuvianite,O;OHx9,Ca_19_AlAl_4_(Al_6_Mg_2_)([box]_4_)[box][Si_2_O_7_]_4_[(SiO_4_)_10_]O(OH)_9_
Cyprine,OHx10,Ca_19_Cu^2+^Al_4_(Al_6_Mg_2_)([box]_4_)_[box]_[Si_2_O_7_]_4_[(SiO_4_)_10_](OH)(OH)_9_
Fluorvesuvianite,O;(F + OH)=9,"Ca_19_Fe^3+^Al_4_(Al_6_Mg_2_)([box]_4_)[box][Si_2_O_7_]_4_[(SiO_4_)_10_]O(F,OH)_9_"
Hongheite,O;(OH + O)=9,"Ca_19_Fe^2+^Al_4_(Fe^3+^,Mg)_8_([box]_4_)B[Si_2_O_7_]_4_[(SiO_4_)_10_]O(OH,O)_9_"
Magnesiovesuvianite,OHx10,Ca_19_MgAl_4_(Al_6_Mg_2_)([box]_4_)_[box]_[Si_2_O_7_]_4_[(SiO_4_)_10_](OH)(OH)_9_
Manaevite-(Ce),(H_4_O_4_) x 2;OHx10,(Ca_13_Ce^3+^_4_[H_2_O]_2_)Mg(Al_3_Mg)(Mg_3_Ti^4+^_3_Fe^3+^_2_)([box]_4_)[box][Si_2_O_7_]_4_[(SiO_4_)_8_(H_4_O_4_)_2_]O(OH)_9_
Manganvesuvianite,O;OHx9,Ca_19_Mn^3+^Al_4_(Al_6_Mg_2_)([box]_4_)[box][Si_2_O_7_]_4_[(SiO_4_)_10_]O(OH)_9_
Milanriederite,OHx10,(Ca_18_[REE])Fe^3+^Al_4_(Mg_4_Al_4_)([box]_4_)[box][Si_2_O_7_]_4_[(SiO_4_)_10_](OH)(OH)_9_
