mineral_id,ion
70baa164-f488-4aea-a0b7-7bcf26f8ac54,Mg
76ca0081-bcf0-4d15-a970-fd95baa774bc,Mn
b1098bc5-9d0b-499b-8382-d10ed170bada,Ba
b1098bc5-9d0b-499b-8382-d10ed170bada,Be
b1098bc5-9d0b-499b-8382-d10ed170bada,F
b1098bc5-9d0b-499b-8382-d10ed170bada,P
a1798980-b16b-4ddd-a40e-c1584cf71998,Ba
a1798980-b16b-4ddd-a40e-c1584cf71998,Fe
a1798980-b16b-4ddd-a40e-c1584cf71998,Ti
a1798980-b16b-4ddd-a40e-c1584cf71998,Si
9736af27-720e-4e1d-b238-16b38d3e5cb9,Ba
9736af27-720e-4e1d-b238-16b38d3e5cb9,Li
75793653-0a0a-4615-96f5-514ca307c549,Ba
75793653-0a0a-4615-96f5-514ca307c549,Na
75793653-0a0a-4615-96f5-514ca307c549,Al
75793653-0a0a-4615-96f5-514ca307c549,Si
345a3285-fff2-4a14-9985-77f390c25929,Al
ee97f980-d64e-42d2-a08a-375e75527778,Fe
8b1da7e5-4701-4ad2-aef3-301d93a9c882,Ba
2273baf5-15d3-403a-92be-4c2836dff9e0,Ba
80243cf9-3bfd-42c9-b568-24617d00a24e,Ba
52cb3823-c5cc-4d59-8ac9-9466c15e7d17,Ba
017b06b3-d56a-41ef-a617-e1cbef5b5dbb,Ba
cb35d190-7b06-4eaa-860f-6b7055a8bc86,Ba
52888fb9-4fcd-44c9-a2f8-ab37edea34fe,Ba
4cb484a9-9528-402c-9d56-c49b00a93f90,Ba
4ef5a7f3-52fc-47d3-a3c6-278257ff213f,Ba
5f18262e-78e9-4307-9e1a-5b43c9222b14,Ba
5f18262e-78e9-4307-9e1a-5b43c9222b14,Cr
79454740-bdc6-490a-aa64-cd5b03098550,Ba
79454740-bdc6-490a-aa64-cd5b03098550,Ti
a8f15413-2763-4152-b90a-4ba19b9ad74e,Ba
d0fa5cf3-06cf-4ef3-97bb-7e1de02c953a,Ba
c3317ea3-294d-437a-a15f-8b6236395427,Ba
76b069e2-45a2-4f48-b956-35561ead7006,Ba
76b069e2-45a2-4f48-b956-35561ead7006,Fe
70f92529-5582-445d-93fd-cc67b9915de9,Ba
11fd1ac7-ee7b-442b-a4fa-69ae59208368,Ba
6aa3bcb3-e734-434e-b4fe-04983b4d5f7e,Ba
e7e9420a-908e-44a8-82b0-da3a403545d7,Ba
8071b0b9-8050-423c-9b1d-df771792cbae,Ba
eb19eb82-1dad-4957-85a4-3066cd24a4a5,Ba
108b81be-e27a-4ada-b24b-fd63d7b8db58,Ba
2fdc4865-1309-4183-82de-faf97eddb34e,Ba
96cc2b1b-80ce-45d2-b0fd-24f8f5f9f314,Ba
714dc96c-38d4-49cc-ac89-6161d2df7c9e,Ba
111f65d6-fce9-4e00-b7ee-415a9d96b106,Ba
5e1ea08b-6bf2-4cdc-bedd-74ea843805d9,Ba
5b0c3b94-6dfa-4b2f-9471-6ac9b96930be,Ba
55da1f49-e038-4854-b009-3a02a882550b,Ba
18a8d381-2318-405f-9d57-cf01d8908775,Ba
18a8d381-2318-405f-9d57-cf01d8908775,Zn
e7f952dc-a530-4e7f-ae81-a89edc39cef6,Ba
